temperature (°C),cloud_cover (%),precipitation_amount (mm/h),wind_speed (m/s),wind_direction (°),humidity (%),pressure (hPa),Time
4.92,100.0,0.023,5.3,83.9,76.4,1018.8,2025-04-22 11:00:00
4.9,100.0,0.027,4.9,82.0,77.0,1018.7,2025-04-22 12:00:00
5.11,100.0,0.027,4.5,78.3,77.5,1018.4,2025-04-22 13:00:00
5.32,100.0,0.027,4.1,74.6,78.1,1018.2,2025-04-22 14:00:00
5.53,100.0,0.028,3.6,70.9,78.6,1017.9,2025-04-22 15:00:00
5.56,99.3,0.022,3.2,69.6,79.6,1017.6,2025-04-22 16:00:00
5.6,98.7,0.017,2.8,68.3,80.6,1017.4,2025-04-22 17:00:00
5.63,98.0,0.011,2.4,67.0,81.6,1017.2,2025-04-22 18:00:00
5.6,98.0,0.009,2.3,66.7,82.9,1017.0,2025-04-22 19:00:00
5.57,98.1,0.008,2.3,66.3,84.1,1016.8,2025-04-22 20:00:00
5.53,98.1,0.006,2.2,66.0,85.3,1016.7,2025-04-22 21:00:00
5.45,98.4,0.004,2.2,41.7,86.2,1016.5,2025-04-22 22:00:00
5.37,98.8,0.002,2.1,9.1,87.2,1016.4,2025-04-22 23:00:00
5.28,99.1,0.0,2.1,344.8,88.1,1016.2,2025-04-23 00:00:00
5.31,92.8,0.0,2.1,340.3,87.7,1016.0,2025-04-23 01:00:00
5.33,86.5,0.0,2.2,335.7,87.3,1015.7,2025-04-23 02:00:00
5.36,80.1,0.0,2.2,331.2,86.9,1015.5,2025-04-23 03:00:00
6.24,70.7,0.0,2.3,327.6,82.1,1015.6,2025-04-23 04:00:00
7.13,61.3,0.0,2.5,324.0,77.3,1015.7,2025-04-23 05:00:00
8.02,51.9,0.0,2.6,320.4,72.6,1015.7,2025-04-23 06:00:00
8.89,61.2,0.003,2.7,322.3,68.4,1015.8,2025-04-23 07:00:00
9.76,70.4,0.006,2.7,324.2,64.1,1015.9,2025-04-23 08:00:00
10.63,79.6,0.009,2.8,326.0,59.9,1016.0,2025-04-23 09:00:00
10.98,72.0,0.006,2.6,311.9,57.4,1016.1,2025-04-23 10:00:00
11.34,64.4,0.003,2.4,292.3,55.0,1016.2,2025-04-23 11:00:00
11.7,56.7,0.001,2.2,277.9,52.5,1016.3,2025-04-23 12:00:00
11.65,55.0,0.001,2.3,279.0,52.9,1016.3,2025-04-23 13:00:00
11.6,53.3,0.002,2.4,280.0,53.2,1016.3,2025-04-23 14:00:00
11.55,51.6,0.003,2.6,280.9,53.6,1016.4,2025-04-23 15:00:00
11.04,44.0,0.002,2.9,300.0,54.2,1016.7,2025-04-23 16:00:00
10.53,36.3,0.001,3.2,324.4,54.7,1017.0,2025-04-23 17:00:00
10.01,28.6,0.0,3.6,343.4,55.3,1017.3,2025-04-23 18:00:00
8.58,37.3,0.0,3.8,348.8,63.8,1017.8,2025-04-23 19:00:00
7.15,46.0,0.0,4.0,354.1,72.4,1018.3,2025-04-23 20:00:00
