Time, a, b, c, d, e, f
2025-04-19 15:37:25.748518,21.875,20.937,20.562,20.187,20.625, 19.25,
2025-04-19 15:38:30.740540,21.875,20.937,20.562,20.187,20.625,19.187,
2025-04-19 15:39:35.732497,21.812,20.937,  20.5,20.187,20.625,19.187,
2025-04-19 15:40:40.788556,21.812,20.937,20.562,20.187,20.625,19.187,
2025-04-19 15:41:45.844556,21.812,20.937,20.562,20.187,20.625,19.187,
2025-04-19 15:42:50.836520,21.812,20.937,20.562,20.187,20.625,19.187,
2025-04-19 15:43:55.892494,21.812,20.937,  20.5,20.187,20.625,19.187,
2025-04-19 15:45:00.884493,21.812,20.937,  20.5,20.187,20.625,19.187,
2025-04-19 15:46:05.940541,21.812,20.937,  20.5,20.187,20.625,19.187,
2025-04-19 15:47:10.932515,21.812,20.937,  20.5,20.125,20.562,19.187,
2025-04-19 15:48:15.924534,21.812,20.937,  20.5,20.187,20.625,19.187,
2025-04-19 15:49:20.980539,21.812,20.937,  20.5,20.187,20.562,19.187,
2025-04-19 15:50:26.036534,21.812,20.937,  20.5,20.125,20.625,19.187,
2025-04-19 15:51:31.028856,21.812,20.937,20.437,20.187,20.562,19.125,
2025-04-19 15:52:36.084570,21.812,20.875,  20.5,20.125,20.562,19.125,
2025-04-19 15:53:41.076515,21.812,20.875,20.437,20.125,20.562,19.125,
2025-04-19 15:54:46.132518,21.812,20.812,20.437,20.125,  20.5,19.125,
2025-04-19 15:55:51.124482, 21.75,20.812,20.437,20.125,  20.5,  19.0,
2025-04-19 15:56:56.180552, 21.75,20.812,20.437,20.125,20.437,19.062,
2025-04-19 15:58:01.172586, 21.75, 20.75,20.375,20.125,20.437,  19.0,
2025-04-19 15:59:06.228505, 21.75,20.687,20.312,20.062,20.375,18.937,
2025-04-19 16:00:11.220557, 21.75,20.687,20.375,20.062,20.375,18.937,
2025-04-19 16:01:16.276534, 21.75,20.687,20.312,20.062,20.375,18.937,
2025-04-19 16:02:21.268511, 21.75,20.687,20.375,20.062,20.312,18.937,
2025-04-19 16:03:26.324511, 21.75,20.687,20.312,  20.0,20.312,18.937,
2025-04-19 16:04:31.316521,21.687,20.687,20.375,  20.0,20.312,18.937,
2025-04-19 16:05:36.372526, 21.75,20.687,20.312,  20.0,20.312,18.937,
2025-04-19 16:06:41.364461, 21.75,20.687,20.375,  20.0,20.375,  19.0,
2025-04-19 16:07:46.420521, 21.75, 20.75,20.375,20.062,20.437,  19.0,
2025-04-19 16:08:51.412508, 21.75,20.812,20.375,20.062,20.437,  19.0,
2025-04-19 16:09:56.468547, 21.75,20.812,20.437,20.062,  20.5,19.062,
2025-04-19 16:11:01.460510, 21.75,20.812,20.437,20.062,20.437,19.062,
2025-04-19 16:12:06.452519, 21.75,20.812,20.437,20.062,  20.5,  19.0,
2025-04-19 16:13:11.508500, 21.75,20.812,20.375,20.062,20.437,19.062,
2025-04-19 16:14:16.500535, 21.75,20.812,20.375,20.062,20.437,19.062,
2025-04-19 16:15:21.556481, 21.75,20.812,20.437,20.062,  20.5,19.062,
2025-04-19 16:16:26.612518, 21.75,20.812,20.437,20.062,  20.5,19.062,
2025-04-19 16:17:31.604544, 21.75,20.812,20.437,20.062,  20.5,19.062,
2025-04-19 16:18:36.660499, 21.75,20.812,20.437,20.062,  20.5,19.062,
2025-04-19 16:19:41.652515, 21.75,20.812,20.437,20.062,  20.5,19.062,
2025-04-19 16:20:46.708487, 21.75,20.812,20.437,20.125,  20.5,19.062,
2025-04-19 16:21:51.700532, 21.75,20.812,20.437,20.062,  20.5,19.062,
2025-04-19 16:22:56.725095, 21.75,20.812,20.437,20.125,  20.5,19.062,
2025-04-19 16:24:01.780494, 21.75,20.812,20.437,20.062,  20.5,19.062,
2025-04-19 16:25:06.772497, 21.75,20.812,20.437,20.125,  20.5,19.125,
2025-04-19 16:26:11.828491, 21.75,20.875,20.437,20.062,20.562,19.125,
2025-04-19 16:27:16.820518, 21.75,20.812,20.437,20.125,20.562,19.062,
2025-04-19 16:28:21.876460,21.812,20.812,20.437,20.062,20.562,19.062,
2025-04-19 16:29:26.868539, 21.75,20.812,20.437,20.062,  20.5,19.062,
2025-04-19 16:30:31.860531, 21.75,20.812,20.437,20.062,  20.5,19.062,
2025-04-19 16:31:36.916520, 21.75,20.812,20.437,20.062,  20.5,19.062,
2025-04-19 16:32:41.908518, 21.75, 20.75,20.437,20.062,20.437,19.062,
2025-04-19 16:33:46.964544, 21.75, 20.75,20.437,20.062,20.437,  19.0,
2025-04-19 16:34:51.988481, 21.75, 20.75,20.375,20.062,20.437,  19.0,
2025-04-19 16:35:57.044610, 21.75, 20.75,20.375,  20.0,20.437,  19.0,
2025-04-19 16:37:02.036473, 21.75, 20.75,20.375,20.062,20.437,  19.0,
2025-04-19 16:38:07.092542,21.687, 20.75,20.375,  20.0,20.437,  19.0,
2025-04-19 16:39:12.084523,21.687, 20.75,20.375,20.062,20.375,  19.0,
2025-04-19 16:40:17.076500,21.687,20.687,20.312,20.062,20.375,18.937,
2025-04-19 16:41:22.132490,21.687,20.687,20.312,  20.0,20.375,18.937,
2025-04-19 16:42:27.188535,21.687,20.687,20.312,  20.0,20.375,18.937,
2025-04-19 16:43:32.180534,21.687,20.687,20.312,  20.0,20.375,18.937,
2025-04-19 16:44:37.172503,21.687,20.687,20.312,  20.0,20.375,18.937,
2025-04-19 16:45:42.228502,21.687,20.687,20.312,  20.0,20.375,18.937,
2025-04-19 16:46:47.284776,21.687,20.687,20.312,  20.0,20.375,18.937,
2025-04-19 16:47:52.276539,21.687,20.687,20.312,  20.0,20.375,18.937,
2025-04-19 16:48:57.332506,21.687,20.687,20.312,  20.0,20.375,18.937,
2025-04-19 16:50:02.324496,21.687,20.687,20.312,  20.0,20.375,18.937,
2025-04-19 16:51:07.380507,21.687,20.687,20.375,  20.0,20.375,18.937,
2025-04-19 16:52:12.372479,21.687,20.687,20.375,  20.0,20.375,18.937,
2025-04-19 16:53:17.428548,21.687,20.687,20.375,  20.0,20.375,18.875,
2025-04-19 16:54:22.420538,21.687,20.687,20.375,  20.0,20.375,18.937,
2025-04-19 16:55:27.476531,21.687,20.687,20.312,  20.0,20.375,18.937,
2025-04-19 16:56:32.468514,21.687,20.687,20.312,  20.0,20.375,18.875,
2025-04-19 16:57:37.524505,21.687,20.687,20.312,  20.0,20.375,18.937,
2025-04-19 16:58:42.516494,21.687,20.687,20.312,  20.0,20.375,18.875,
2025-04-19 16:59:47.572529,21.687,20.687,20.312,  20.0,20.375,18.875,
2025-04-19 17:00:52.628540,21.687,20.687,20.312,  20.0,20.312,18.875,
2025-04-19 17:01:57.620505,21.687,20.687,20.312,  20.0,20.375,18.875,
2025-04-19 17:03:02.612503,21.687,20.687,20.312,  20.0,20.375,18.875,
2025-04-19 17:04:07.668550,21.687,20.625,20.312,19.937,20.375,18.875,
